[INFO ] 2025-06-29 04:14:16,451 [main]  com.oltpbenchmark.ThreadBench runRateLimitedMultiPhase - TERMINATE :: Waiting for all terminals to finish ..
[INFO ] 2025-06-29 04:14:16,666 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Starting WatchDogThread
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - ======================================================================
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - Rate limited reqs/s: Results(state=EXIT, nanoSeconds=3600000000012, measuredRequests=21259744) = 5905.484444424759 requests/sec (throughput), 6428.25027775635 requests/sec (goodput)
[INFO ] 2025-06-29 04:14:21,078 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output Raw data into file: tpcc_2025-06-29_04-14-21.raw.csv
[INFO ] 2025-06-29 04:14:36,675 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Worker Thread Status:


[INFO ] 2025-06-29 04:14:36,984 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output samples into file: tpcc_2025-06-29_04-14-21.samples.csv
[INFO ] 2025-06-29 04:14:37,642 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output summary data into file: tpcc_2025-06-29_04-14-21.summary.json
[INFO ] 2025-06-29 04:14:37,647 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS parameters into file: tpcc_2025-06-29_04-14-21.params.json
[INFO ] 2025-06-29 04:14:37,651 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS metrics into file: tpcc_2025-06-29_04-14-21.metrics.json
[INFO ] 2025-06-29 04:14:37,653 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output benchmark config into file: tpcc_2025-06-29_04-14-21.config.xml
[INFO ] 2025-06-29 04:14:37,674 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output results into file: tpcc_2025-06-29_04-14-21.results.csv with window size 5
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - Workload Histograms:

Completed Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [10396495] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [10033542] *****************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.OrderStatus/03                      [  932932] *******
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [  844793] ******
com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel/05                       [  933939] *******

Aborted Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [104849] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [ 87491] ******************************************************************

Rejected Transactions (Server Retry):
<EMPTY>

Rejected Transactions (Retry Different):
<EMPTY>

Unexpected SQL Errors:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [ 519] **************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [2914] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [2214] ************************************************************

Unknown Status Transactions:
<EMPTY>


[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[1]+  완료                  nohup ./run_tpcc.sh > tmp2 1>&1
minsky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ ^C





insky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ cat results/tpcc_2025-06-29_04-14-21.results.csv
Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3378.800,1351.924,1.116,118.657,299.972,632.963,8524.955,8824.517,9107.101,9920.112,0.001
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,7286.000,206.542,0.699,63.759,165.633,307.523,452.119,540.338,723.441,1480.266,0.005
15,9690.800,212.335,0.507,64.894,170.191,313.351,461.780,557.167,759.502,1386.698,0.005
20,8867.000,233.800,0.512,81.451,188.737,348.477,495.254,589.845,776.179,1355.854,0.004
25,8076.200,250.662,0.816,84.202,200.790,378.115,535.971,628.532,823.647,1460.448,0.004
30,5085.000,433.788,0.798,98.395,232.490,448.697,814.440,2283.078,2685.599,3779.296,0.002
35,6311.600,301.782,0.567,96.665,238.780,450.120,645.656,790.100,1054.466,1878.697,0.003
40,4022.800,508.360,0.600,88.647,252.023,500.894,2305.554,2554.863,2926.807,3739.362,0.002
45,8565.200,237.569,0.509,72.160,190.506,358.337,517.054,613.878,812.536,1425.353,0.004
50,8734.600,239.404,0.570,76.241,186.485,361.425,522.488,624.386,830.552,1369.110,0.004
55,7835.000,260.603,0.595,86.842,208.512,390.499,555.351,659.082,893.658,1552.644,0.004
60,7041.000,289.984,0.570,97.922,227.350,436.708,623.067,742.215,982.028,1866.804,0.003
65,6646.000,378.531,0.731,95.618,241.063,495.163,791.352,1524.876,2013.225,2590.548,0.003
70,4476.000,368.137,0.872,122.833,279.562,523.473,761.644,887.880,1280.951,6168.152,0.003
75,882.800,2190.812,1.369,102.141,380.046,4702.645,4871.159,4936.274,5073.237,5620.683,0.000
80,9360.400,219.863,0.524,75.782,178.060,325.077,470.839,562.691,758.502,1280.161,0.005
85,9186.200,224.889,0.513,69.922,177.275,337.307,494.691,593.730,778.112,1473.622,0.004
90,8513.200,240.377,0.748,81.227,193.308,357.713,513.537,612.589,818.768,1409.074,0.004
95,7580.800,520.863,0.577,84.071,218.194,427.641,665.578,1039.325,6008.672,6602.073,0.002
100,62.400,5496.084,1.264,5595.263,5777.532,5982.224,6092.643,6170.891,6362.295,6765.028,0.000
105,6079.600,306.319,0.786,99.467,251.631,461.943,656.310,776.292,1020.156,1868.519,0.003
110,4721.400,568.374,0.691,91.907,245.227,501.861,915.167,3559.259,3918.610,4487.775,0.002
115,6070.400,228.849,0.680,67.831,182.460,345.811,502.516,598.259,785.201,1403.326,0.004
120,8982.600,228.830,0.643,77.922,187.462,340.047,486.040,579.408,774.286,1617.201,0.004
125,8171.000,250.100,0.638,81.153,197.886,373.051,541.029,650.620,850.010,1519.976,0.004
130,7731.200,268.534,0.802,94.548,217.585,402.850,570.716,670.770,882.861,1454.624,0.004
135,7111.200,286.209,0.774,89.474,220.999,433.682,623.177,740.627,999.753,2034.616,0.003
140,5468.200,377.617,0.877,99.192,253.547,522.196,885.934,1222.988,1673.800,2659.102,0.003
145,6468.400,315.081,0.643,87.724,244.834,480.130,703.131,844.040,1125.344,2233.480,0.003
150,4929.200,492.511,0.664,92.904,250.359,530.141,939.379,2652.473,2950.103,3625.664,0.002
155,6727.800,243.745,0.497,82.844,197.722,365.635,516.203,618.124,838.100,1634.913,0.004
160,8495.200,240.383,0.547,82.180,195.233,359.517,511.949,606.069,799.840,1322.798,0.004
165,7711.200,267.561,0.932,93.533,209.354,391.797,569.478,694.382,969.433,1704.895,0.004
170,7133.600,292.388,0.776,93.276,228.135,443.204,633.318,755.209,1002.780,1888.973,0.003
175,6992.000,285.490,0.681,88.747,224.905,431.935,627.847,742.317,976.718,1829.338,0.004
180,6526.800,319.611,0.844,104.550,246.499,484.774,693.238,819.979,1088.168,2007.721,0.003
185,6244.000,334.573,0.692,100.043,259.729,511.794,735.478,877.160,1180.417,2181.046,0.003
190,2367.000,1490.333,0.761,89.737,276.265,695.701,7133.323,7318.387,7898.139,8374.962,0.001
195,1965.200,257.476,0.754,96.802,223.463,347.945,538.930,652.114,849.608,1293.235,0.004
