Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
0,7451.6,276.832,0.587,83.815,211.013,408.744,600.576,752.51,1060.72,2018.283,0.004,,7451.6,3378.8
5,7625.2,267.611,0.579,94.831,217.752,405.012,559.922,654.895,862.615,1546.711,0.004,,7625.2,0
10,3948,515.716,0.511,101.74,260.205,512.597,2274.178,2525.452,2890.656,3648.187,0.002,,3948,7286
15,2726,1525.248,0.955,115.373,283.423,608.05,8352.394,8580.684,8888.076,9819.104,0.001,,2726,9690.8
20,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,8867
25,9372,209.364,0.46,65.613,170.058,312.741,450.472,540.255,724.995,1545.608,0.005,,9372,8076.2
30,9318.4,220.022,0.461,66.442,172.9,331.387,483.663,579.737,775.877,1348.013,0.005,,9318.4,5085
35,8732,236.329,0.606,82.327,190.858,354.086,506.192,599.223,791.14,1343.964,0.004,,8732,6311.6
40,8064.8,254.409,0.592,82.79,202.349,385.347,545.807,646.889,862.585,1881.449,0.004,,8064.8,4022.8
45,7196.2,283.188,0.745,92.684,226.148,426.091,613.257,726.993,954.8,1669.919,0.004,,7196.2,8565.2
50,7064.8,291.919,0.901,92.373,231.672,443.698,625.967,740.558,972.451,1576.48,0.003,,7064.8,8734.6
55,6552.6,312.896,0.707,99.439,249.094,478.273,667.376,791.43,1054.291,1679.593,0.003,,6552.6,7835
60,6216.2,330.584,0.794,113.767,254.646,499.62,703.358,832.84,1136.138,2097.695,0.003,,6216.2,7041
65,5891.2,349.789,0.84,108.704,273.912,535.154,747.628,881.618,1211.911,2180.451,0.003,,5891.2,6646
70,5666.6,363.013,0.766,116.133,284.005,551.272,776.787,914.105,1263.612,2258.686,0.003,,5666.6,4476
75,5584,366.668,0.652,113.015,287.239,565.566,783.039,922.446,1239.737,2108.32,0.003,,5584,882.8
80,5400.2,374.923,0.631,116.851,286.919,574.627,807.466,951.454,1300.101,2286.747,0.003,,5400.2,9360.4
85,8130.2,248.55,0.622,67.337,187.527,378.141,560.019,672.956,919.097,1593.489,0.004,,8130.2,9186.2
90,7979.6,257.878,0.519,82.873,203.793,387.117,556.968,662.84,884.083,1597.765,0.004,,7979.6,8513.2
95,7236.6,285.561,0.712,93.764,226.333,434.078,611.825,719.765,956.27,1725.975,0.004,,7236.6,7580.8
100,6374.4,318.163,0.721,100.391,252.132,476.192,687.084,833.789,1130.343,2031.764,0.003,,6374.4,62.4
105,6473.4,320.373,1.003,115.369,256.239,478.859,673.485,792.104,1053.11,2007.449,0.003,,6473.4,6079.6
110,4317.4,806.769,0.792,98.571,277.265,573.622,1205.229,5461.366,5920.182,6882.647,0.001,,4317.4,4721.4
115,2359.8,234.961,1.025,71.138,190.847,350.092,518.18,618.613,818.774,1313.679,0.004,,2359.8,6070.4
120,9424.8,217.517,0.491,65.396,171.418,326.737,477.827,572.469,769.217,1445.285,0.005,,9424.8,8982.6
125,8707,237.439,0.562,80.645,189.932,353.136,507.785,606.274,817.032,1454.544,0.004,,8707,8171
130,8070,253.526,0.602,79.77,201.76,385.697,547.815,647.648,855.463,1616.889,0.004,,8070,7731.2
135,7213.6,285.211,0.564,90.929,224.867,418.847,623.172,748.41,1034.037,1975.992,0.004,,7213.6,7111.2
140,7144.6,285.178,0.652,84.296,222.354,432.553,630.642,750.132,992.903,1755.156,0.004,,7144.6,5468.2
145,6405.6,326.612,0.844,116.347,263.206,486.067,683.013,810.436,1112.274,2020.003,0.003,,6405.6,6468.4
150,6218.4,329.337,0.691,91.622,248.958,507.537,732.686,881.115,1206.353,2168.784,0.003,,6218.4,4929.2
155,6512.6,300.906,0.682,89.086,226.16,447.978,679.83,825.394,1127.038,2002.639,0.003,,6512.6,6727.8
160,8480.4,240.502,0.735,78.363,194.987,357.086,520.198,619.353,816.582,1504.936,0.004,,8480.4,8495.2
165,8226.2,249.317,0.513,83.996,200.445,373.369,533.742,633.101,830.843,1643.458,0.004,,8226.2,7711.2
170,7579.4,273.678,0.596,89.182,221.741,408.657,586.318,697.028,925.68,1669.814,0.004,,7579.4,7133.6
175,6980.4,290.294,0.665,90.955,232.37,437.096,632.491,749.384,986.543,1889.455,0.003,,6980.4,6992
180,6895.8,294.255,0.739,92.106,230.618,443.952,641.079,762.451,999.316,1643.185,0.003,,6895.8,6526.8
185,6487,322.027,0.83,104.559,253.145,485.932,693.116,824.465,1104.954,1928.312,0.003,,6487,6244
190,6174,335.68,0.724,112.386,266.834,506.108,710.529,840.796,1128.209,2322.533,0.003,,6174,2367
195,5917,343.74,0.796,95.813,259.127,516.774,773.848,932.439,1278.736,2561.744,0.003,,5917,1965.2
200,5791.2,357.4,0.732,109.503,283.319,550.044,776.475,909.653,1198.291,1830.924,0.003,,5791.2,9159.8
205,5523.8,361.259,1.161,116.569,279.878,552.062,778.657,915.91,1202.213,2035.721,0.003,,5523.8,8642.4
210,5680.4,358.168,0.817,91.779,230.167,421.438,694.122,1637.424,2007.509,2780.771,0.003,,5680.4,7855.4
215,7854.4,262.295,0.897,88.888,211.022,394.635,564.168,660.617,866.264,1523.901,0.004,,7854.4,3835.2
220,4584.2,942.793,0.865,102.494,235.664,466.633,864.967,7794.764,8171.401,9031.231,0.001,,4584.2,2969.6
225,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,1142.4
230,5467.4,649.568,0.684,102.548,267.132,524.745,898.226,4812.998,5181.89,6074.646,0.002,,5467.4,8417.8
235,1029.2,278.607,1.412,112.079,255.391,399.951,547.166,680.302,859.593,1041.342,0.004,,1029.2,8877.2
240,9392.8,216.647,0.666,73.023,173.801,320.258,471.764,563.343,741.834,1394.593,0.005,,9392.8,8466.6
245,8505,235.379,0.606,82.954,193.064,350.834,498.081,595.28,779.862,1469.614,0.004,,8505,7636.6
250,7755.2,265.236,0.563,86.035,207.419,383.726,574.068,717.229,1012.209,1732.24,0.004,,7755.2,7128.8
255,7604.2,269.953,0.622,96.01,223.379,398.12,568.863,667.485,864.814,1417.434,0.004,,7604.2,6914.6
260,7195.6,286.359,0.76,92.916,231.147,429.555,619.928,731.393,964.283,1876.969,0.003,,7195.6,6441.4
265,6703.8,306.051,0.838,113.42,246.166,457.866,644.968,753.317,973.513,1595.268,0.003,,6703.8,6380.6
270,6389.4,315.199,0.717,94.852,241.584,475.891,701.027,841.034,1114.544,1949.228,0.003,,6389.4,6035.8
275,6191.6,332.971,0.736,105.368,262.42,511.749,714.348,841.839,1137.621,1907.325,0.003,,6191.6,5787.2
280,6085.8,341.121,0.919,105.147,265.601,515.647,742.468,887.019,1191.271,2136.641,0.003,,6085.8,5894
285,5713,355.71,0.965,114.927,281.762,539.923,758.488,896.252,1183.474,2856.344,0.003,,5713,7925.6
290,5262.4,382.879,0.938,126.544,288.515,549.115,858.282,1062.22,1370.343,2697.327,0.003,,5262.4,7140.8
295,6898.2,706.903,0.554,93.997,226.602,444.967,709.428,7475.401,7977.094,8842.617,0.001,,6898.2,7089.8
300,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,6755.8
305,3884.4,358.15,0.945,109.848,271.309,505.579,730.248,868.705,1212.267,6206.826,0.003,,3884.4,6008.4
310,1064.4,1922.234,0.946,72.177,287.274,4836.788,5047.744,5166.859,5364.038,5818.348,0.001,,1064.4,6195.2
315,8618.6,219.188,0.714,66.476,184.727,326.615,470.157,560.639,750.426,1480.21,0.005,,8618.6,1348.4
320,8852.4,231.653,0.579,75.787,183.562,348.41,504.648,594.43,803.029,1555.069,0.004,,8852.4,6493.4
325,8251.2,252.301,0.729,82.914,199.932,377.513,544.974,652.701,865.855,1501.412,0.004,,8251.2,8646.8
330,7489.8,274.057,0.921,88.954,218.008,410.659,591.986,699.464,933.064,1772.43,0.004,,7489.8,8027.2
335,5682.2,359.061,0.719,98.966,246.571,481.66,808.712,1197.006,1706.153,2566.686,0.003,,5682.2,7340.6
340,2196.2,1559.304,0.638,112.404,276.701,633.026,7158.289,7324.541,7591.827,8247.797,0.001,,2196.2,7181.2
345,3189,199.006,0.696,50.093,158.687,304.097,447.653,537.175,720.435,1206.091,0.005,,3189,6555
350,9742.2,211.184,0.545,64.869,171.84,317.663,455,546.475,730.99,1468.86,0.005,,9742.2,5328.6
355,8923,230.456,0.59,70.862,177.559,347.771,507.691,611.286,817.308,1574.322,0.004,,8923,0
360,8050,256.161,0.579,90.997,207.739,375.041,544.42,652.195,885.6,1482.302,0.004,,8050,4804.4
365,7518.4,273.142,0.625,95.795,224.012,402.677,569.192,668.44,892.831,2659.197,0.004,,7518.4,9140
370,4981.4,416.171,0.635,114.464,276.973,501.353,869.39,1689.309,2037.368,2931.262,0.002,,4981.4,8524.4
375,6007.4,505.639,0.719,101.107,252.248,491.575,796.29,3336.705,3737.976,4758.301,0.002,,6007.4,8021
380,4223.2,237.362,0.608,76.443,186.78,347.16,522.538,637.446,856.42,1570.821,0.004,,4223.2,7213.4
385,8695,235.925,0.642,74.5,188.594,350.32,515.418,612.492,830.618,1497.089,0.004,,8695,6919.4
390,8091.8,253.156,0.751,80.869,201.718,386.809,543.837,640.41,867.695,1805.001,0.004,,8091.8,5175.4
